TU_ID,Gene_name,Start,End,Strand,Expression_EP,Expression_SP,Description
0,thrLABC,148,5019,+,3.751242338,1.812288039,thrLABC
1,thrL,148,309,+,4.922400264,14.26068623,thrL
2,talB,8191,9225,+,66.5513903,27.05201863,talB
3,mbiA,10643,11314,+,0.126059118,0.23106437,mbiA
4,mbiA,10644,11314,+,0.126246706,0.231408216,mbiA
5,dnaK-tpke11-dnaJ,12048,15297,+,44.78263494,66.4783429,dnaK-tpke11-dnaJ
6,dnaK-tpke11-dnaJ,12123,15297,+,45.84015938,68.04532492,dnaK-tpke11-dnaJ
7,dnaK-tpke11-dnaJ,12144,15297,+,46.11307352,68.42090298,dnaK-tpke11-dnaJ
8,nhaAR,17317,19619,+,1.860630301,4.120812792,nhaAR
9,nhaAR,17458,19619,+,1.979138535,4.371345572,nhaAR
10,rpsT,20771,21119,-,83.14169415,44.96384656,rpsT
11,rpsT,20771,21209,-,66.23119851,36.04175887,rpsT
12,ribF-ileS-lspA-fkpB-ispH,21383,27278,+,5.400889288,3.618793731,ribF-ileS-lspA-fkpB-ispH
13,ileS-lspA-fkpB-ispH,21833,27278,+,5.442468687,3.586446943,ileS-lspA-fkpB-ispH
14,ileS-lspA-fkpB-ispH,22034,27278,+,5.343511621,3.534211683,ileS-lspA-fkpB-ispH
15,ileS-lspA-fkpB-ispH,22229,27278,+,5.360890564,3.535429711,ileS-lspA-fkpB-ispH
16,lspA-fkpB-ispH,25014,27278,+,3.344683806,2.07381595,lspA-fkpB-ispH
17,dapB,28288,29271,+,3.80222293,1.75818524,dapB
18,dapB,28343,29271,+,4.027085577,1.862163937,dapB
19,carAB,29551,34119,+,0.419129712,0.11354703,carAB
20,carAB,29619,34119,+,0.425460414,0.11526209,carAB
21,carB,30775,34037,+,0.447491568,0.142764533,carB
22,caiF,34218,34694,+,0.474854855,0.716638136,caiF
23,caiTABCDE,34781,42036,-,0.150695591,0.127841092,caiTABCDE
24,fixABCX,42325,45749,+,0.048238538,0.025488071,fixABCX
25,yaaU,45592,47137,+,0.035860523,0.012817133,yaaU
26,folA,49799,50301,+,5.300870155,2.435314501,folA
27,apaGH,50380,52033,-,3.960114603,4.497735311,apaGH
28,rsmA-apaGH,50380,52587,-,5.955241753,4.638181935,rsmA-apaGH
29,lptD,54755,57155,-,14.03949105,14.56141653,lptD
30,lptD,54755,57240,-,13.5596532,14.06803772,lptD
31,lptD-surA-pdxA,52427,57335,-,11.60847216,9.553267169,lptD-surA-pdxA
32,rapA-rluA,59687,63357,-,3.160401359,2.123712697,rapA-rluA
33,rapA,60358,63587,-,3.070954132,2.126558666,rapA
34,polB,63429,65802,-,0.314572466,0.726818541,polB
35,araBAD,65800,70074,-,0.076368771,0.157880004,araBAD
36,araC,70241,71264,+,0.805141384,1.937678548,araC
37,yabI,71271,72114,+,0.898083663,0.889932539,yabI
38,sroA,75516,75607,-,0.592257297,0.206677601,sroA
39,sgrR-sroA-tbpA-thiPQ,72229,77337,-,0.275182674,0.123213724,sgrR-sroA-tbpA-thiPQ
40,sgrST-setA,77367,78798,+,10.87953477,1.382749439,sgrST-setA
41,leuLABCD,78848,83734,-,0.450587599,0.357475946,leuLABCD
42,leuL,83574,83734,-,0.483201645,0.554457047,leuL
43,leuLABCD,78848,84023,-,0.425434071,0.337520268,leuLABCD
44,leuO,84154,85311,+,0.115063499,0.156249748,leuO
45,leuO,84188,85311,+,0.118540973,0.156222054,leuO
46,leuO,84298,85311,+,0.131387778,0.173152523,leuO
47,leuO,84304,85311,+,0.132169073,0.174182171,leuO
48,ilvIH,85420,87847,+,0.717473222,0.240912205,ilvIH
49,ilvIH,85453,87847,+,0.727354948,0.244230278,ilvIH
50,ilvIH,85540,87847,+,0.7547607,0.253432545,ilvIH
51,ilvIH,85600,87847,+,0.77229862,0.260193751,ilvIH
52,cra,87947,89031,+,7.01955563,4.108489034,cra
53,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89596,107473,+,6.652581578,7.181882747,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
54,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,90010,107473,+,6.559719663,7.046921515,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
55,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,90688,107473,+,6.463091145,7.027211473,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
56,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,91012,107473,+,6.481159267,7.05862292,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
57,ftsQ,102742,103984,+,6.344876418,6.409354864,ftsQ
58,ftsQAZ,102867,106455,+,9.662312223,9.27931494,ftsQAZ
59,ftsAZ,103561,106455,+,10.59136035,10.06510051,ftsAZ
60,ftsZ,104636,106455,+,12.95333248,12.33528386,ftsZ
61,ftsZ,104693,106455,+,13.26463309,12.64351777,ftsZ
62,ftsZ,105045,106455,+,15.23839685,14.35151064,ftsZ
63,lpxC,106508,107543,+,35.36518579,53.42877133,lpxC
64,lpxC,106530,107473,+,38.64690696,58.49173991,lpxC
65,ppdD-hofBC,114522,117704,-,0.259403536,0.199576069,ppdD-hofBC
66,nadC,117752,118662,-,2.929374071,1.384538369,nadC
67,ampDE,118703,120134,+,1.075427328,0.452383475,ampDE
68,aroP,120144,121649,-,0.914248678,0.729629949,aroP
69,aroP,120144,121670,-,0.901683742,0.730093766,aroP
70,pdhR-aceEF-lpd,122034,129393,+,52.30377612,7.955118641,pdhR-aceEF-lpd
71,aceEF,122969,127618,+,46.48990595,8.358006072,aceEF
72,lpd,127717,129393,+,96.89134419,11.08092027,lpd
73,acnB,131519,134271,+,22.97980268,5.523656916,acnB
74,acnB,131564,134211,+,23.888396,5.742601414,acnB
75,yacL,134339,134749,+,9.795839274,8.456534344,yacL
76,yacC-speED,134756,136939,-,14.81680281,7.934267186,yacC-speED
77,cueO,137045,138632,+,0.608105928,1.006295487,cueO
78,gcd,138801,141262,-,1.263185282,0.41574952,gcd
79,gcd,138801,141278,-,1.255032412,0.413066183,gcd
80,hpt,141360,141966,+,11.39293246,5.693919874,hpt
81,can,142008,142702,-,22.47165486,6.312010736,can
82,panD,146314,146744,-,11.4378387,9.764424607,panD
83,panD,146314,146753,-,11.20441342,9.565150635,panD
84,panBC,147944,149629,-,5.134254537,4.122826137,panBC
85,yadV-htrE,152829,156213,-,0.045255199,0.021001478,yadV-htrE
86,yadV-htrE,152829,156223,-,0.045121939,0.020939636,yadV-htrE
87,yadV-htrE,152829,156234,-,0.044976256,0.020872029,yadV-htrE
88,pcnB-folK,157253,159150,-,7.355253313,2.510230156,pcnB-folK
89,pcnB-folK,157253,159170,-,7.278596165,2.491299862,pcnB-folK
90,pcnB-folK,157253,159194,-,7.197889876,2.465231727,pcnB-folK
91,pcnB-folK,157253,159390,-,6.642158787,2.273752296,pcnB-folK
92,dksA-gluQ,159186,160656,-,20.561284,9.468942104,dksA-gluQ
93,dksA-gluQ,159186,160721,-,19.70741558,9.093904944,dksA-gluQ
94,dksA-gluQ,159186,160750,-,19.40432099,9.042409178,dksA-gluQ
95,sfsA-dksA,160149,161514,-,25.3908014,15.58175159,sfsA-dksA
96,mrcB,164721,167263,+,1.917403798,0.934549919,mrcB
97,fhuACDB,167442,173443,+,2.623854628,0.670553967,fhuACDB
98,hemL,173602,174901,-,2.65062845,1.09094919,hemL
99,hemL,173602,174920,-,2.612475465,1.082233927,hemL
100,hemL,173602,174940,-,2.573483293,1.066081182,hemL
101,erpA,176561,176953,+,10.08187232,16.58575204,erpA
102,mtn-btuF-yadS,177001,179182,-,4.454036336,3.21135591,mtn-btuF-yadS
103,dgt,179196,180753,+,1.541506694,0.945112901,dgt
104,dgt,179214,180753,+,1.559512613,0.956152506,dgt
105,degP,180845,182307,+,8.78342004,8.010394575,degP
106,cdaR,182447,183619,+,1.601047137,0.77189273,cdaR
107,dapD,185090,185976,-,21.51050765,9.446990471,dapD
108,glnD,185978,188654,-,1.27857977,0.808779569,glnD
109,tff-rpsB-tsf,189712,191737,+,189.8740362,37.12719179,tff-rpsB-tsf
110,pyrH,191812,192579,+,19.49335112,3.720412127,pyrH
